Number, File Name (.c), Situation
1, extr_.anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rcc.c_RCC_GetClocksFreq_with_main, x
2, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp932ext.h_cp932ext_wctomb_with_main, x
3, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp50221_0212_ext.h_cp50221_0212_ext_wctomb_with_main, v
4, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgb18030ext.h_gb18030ext_wctomb_with_main, v
5, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs1999.h_hkscs1999_wctomb_with_main, x
6, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2001.h_hkscs2001_wctomb_with_main, x
7, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2004.h_hkscs2004_wctomb_with_main, x
8, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2008.h_hkscs2008_wctomb_with_main, x
9, extr_.BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_calc_value4_with_main, v
10, extr_.BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_update_with_main, v
11, extr_.ccvlibccv_util.c__ccv_sparse_matrix_index_for_hash_with_main, x
12, extr_.ccvlibnnccmdconvolutioncpu_opt_ccv_nnc_conv_cpu_4x4_3x3_winograd.c__ccv_nnc_winograd_4x4_3x3_gwtg_ref_with_main, x
13, extr_.Craftdepsglfwsrccontext.c__glfwChooseFBConfig_with_main, x
14, extr_.Craftdepsglfwsrcmir_window.c_toGLFWKeyCode_with_main, v
15, extr_.Craftdepsglfwsrcwl_init.c_toGLFWKeyCode_with_main, v
16, extr_.Craftdepslodepnglodepng.c_getPixelColorRGBA16_with_main, v
17, extr_.Craftsrccube.c_make_cube_faces_with_main, x
18, extr_.darknetsrcimage.c_draw_box_with_main, v
19, extr_.darwin-xnubsdnfsnfs4_vnops.c_nfs_open_file_remove_open_find_with_main, v
20, extr_.disquedepsjemallocsrcctl.c_ctl_arena_stats_smerge_with_main, v
21, extr_.emscriptensystemlibhtml5dom_pk_codes.c_emscripten_compute_dom_pk_code_with_main, ok
22, extr_.emscriptensystemlibhtml5key_codes.c_emscripten_dom_vk_to_string_with_main, v
23, extr_.emscriptensystemliblibcmuslsrccryptcrypt_des.c___do_des_with_main, v
